Date,Guesses
2022-01-22,3
2022-01-23,4
2022-01-24,4
2022-01-25,3
2022-01-26,5
2022-01-28,6
2022-01-29,4
2022-01-30,4
2022-01-31,3
2022-02-01,3
2022-02-02,3
2022-02-03,3
2022-02-04,4
2022-02-05,3
2022-02-06,4
2022-02-07,3
2022-02-08,5
2022-02-09,5
2022-02-10,4
2022-02-11,5
2022-02-12,3
2022-02-13,4
2022-02-14,5
2022-02-15,3
2022-02-16,4
2022-02-17,6
2022-02-18,4
2022-02-19,6
2022-02-20,3
2022-02-21,3
2022-02-22,3
2022-02-23,4
2022-02-24,4
2022-02-25,3
2022-02-26,3
2022-02-27,4
2022-02-28,5
2022-03-01,4
2022-03-02,4
2022-03-03,3
2022-03-04,4
2022-03-05,4
2022-03-06,4
2022-03-07,5
2022-03-08,6
2022-03-09,4
2022-03-10,4
2022-03-11,5
2022-03-12,4
2022-03-13,4
2022-03-14,3
2022-03-15,2
2022-03-16,4
2022-03-17,3
2022-03-18,4
2022-03-19,4
2022-03-20,4
2022-03-21,3
2022-03-22,4
2022-03-23,3
2022-03-24,3
2022-03-25,4
2022-03-27,3
2022-03-28,4
2022-03-29,5
2022-03-30,4
2022-03-31,4
2022-04-01,6
2022-04-02,4
2022-04-03,4
2022-04-04,5
2022-04-05,5
2022-04-06,5
2022-04-07,3
2022-04-08,5
2022-04-09,3
2022-04-10,4
2022-04-11,4
2022-04-12,4
2022-04-13,4
2022-04-14,3
2022-04-15,X
2022-04-16,3
2022-04-17,4
2022-04-18,3
2022-04-19,X
2022-04-20,4
2022-04-22,4
2022-04-23,5
2022-04-24,3
2022-04-25,3
2022-04-26,2
2022-04-27,4
2022-04-28,4
2022-04-29,3
2022-04-30,5
2022-05-01,3
2022-05-02,3
2022-05-03,4
2022-05-04,4
2022-05-05,X
2022-05-06,5
2022-05-07,3
2022-05-08,4
2022-05-09,4
2022-05-10,4
2022-05-11,2
2022-05-12,4
2022-05-13,2
2022-05-14,3
2022-05-15,5
2022-05-16,4
2022-05-17,4
2022-05-18,4
2022-05-19,3
2022-05-20,3
2022-05-21,2
2022-05-22,4
2022-05-23,4
2022-05-24,3
2022-05-25,5
2022-05-26,5
2022-05-27,2
2022-05-28,3
2022-05-29,3
2022-05-30,3
2022-05-31,4
2022-06-01,5
2022-06-02,5
2022-06-03,3
2022-06-04,4
2022-06-05,3
2022-06-06,4
2022-06-07,4
2022-06-08,4
2022-06-09,4
2022-06-10,2
2022-06-11,6
2022-06-12,3
2022-06-13,4
2022-06-14,4
2022-06-15,5
2022-06-16,4
2022-06-17,3
2022-06-18,6
2022-06-19,2
2022-06-20,3
2022-06-21,4
2022-06-22,3
2022-06-23,4
2022-06-24,4
2022-06-25,3
2022-06-26,4
2022-06-27,5
2022-06-28,4
2022-06-29,5
2022-06-30,4
2022-07-01,4
2022-07-02,3
2022-07-03,5
2022-07-04,X
